type,entry_time,entry_price,close_time,close_price,support,resistance
short,2022-05-16 02:00:00,31029.96,2022-05-16 22:10:00,29229.87,30825.38,
short,2022-05-18 03:25:00,30551.79,2022-05-18 21:30:00,28882.03,30403.33,
short,2022-05-20 02:55:00,30276.18,2022-05-20 22:55:00,28771.14,30290.73,
short,2022-05-26 00:15:00,29773.15,2022-05-26 18:45:00,28235.19,29791.99,
short,2022-06-01 00:15:00,31770.01,2022-06-01 22:45:00,30156.82,31764.57,
short,2022-06-07 00:15:00,31340.21,2022-06-07 07:20:00,29400.0,31230.24,
short,2022-06-12 00:15:00,28611.58,2022-06-12 19:45:00,26963.3,28559.34,
short,2022-06-13 00:15:00,27901.99,2022-06-13 05:30:00,26483.4,27911.76,
short,2022-06-13 05:50:00,26742.72,2022-06-13 08:30:00,25094.7,26482.07,
short,2022-06-13 08:50:00,25088.5,2022-06-13 16:50:00,23618.67,24900.0,
short,2022-06-13 17:55:00,24165.34,2022-06-13 20:30:00,22727.2,23990.14,
short,2022-06-14 00:15:00,23508.75,2022-06-14 04:35:00,22341.91,23532.33,
short,2022-06-14 04:55:00,22160.63,2022-06-14 07:25:00,20855.0,22043.7,
short,2022-06-15 00:15:00,22277.51,2022-06-15 09:30:00,21300.0,22470.37,
short,2022-06-15 12:30:00,21360.73,2022-06-15 15:00:00,20154.28,21217.56,
short,2022-06-15 19:30:00,21678.97,2022-06-15 23:35:00,20420.58,21525.95,
short,2022-06-16 03:20:00,22300.0,2022-06-16 16:05:00,20873.51,22015.71,
short,2022-06-18 00:15:00,20512.52,2022-06-18 12:25:00,19439.26,20476.17,
short,2022-06-18 12:45:00,19344.46,2022-06-18 23:55:00,18262.51,19260.0,
short,2022-06-19 04:10:00,19228.08,2022-06-19 10:50:00,18059.47,19123.78,
short,2022-06-22 00:15:00,21180.7,2022-06-22 11:55:00,20020.0,21125.0,
short,2022-06-30 00:15:00,20058.33,2022-06-30 14:35:00,19051.09,20060.4,
short,2022-07-01 06:10:00,20412.41,2022-07-01 12:30:00,19345.87,20367.92,
short,2022-07-10 00:15:00,21798.03,2022-07-10 21:40:00,20717.86,21823.75,
short,2022-07-21 00:15:00,23800.37,2022-07-21 19:55:00,22453.64,23664.6,
short,2022-07-26 00:15:00,21865.77,2022-07-26 21:20:00,20740.54,21862.83,
short,2022-08-19 00:15:00,23272.2,2022-08-19 12:05:00,21872.8,23256.0,
short,2022-08-26 18:55:00,21776.3,2022-08-26 21:55:00,20584.44,21705.75,
short,2022-09-06 06:30:00,20159.7,2022-09-06 23:55:00,19005.07,20013.02,
short,2022-09-13 00:15:00,22382.69,2022-09-13 20:00:00,21159.02,22278.16,
short,2022-09-19 00:15:00,19651.6,2022-09-19 11:25:00,18459.71,19608.24,
short,2022-09-22 00:15:00,19562.2,2022-09-22 03:45:00,18243.02,19251.07,
short,2022-09-27 08:40:00,20125.05,2022-09-27 22:30:00,18956.41,19959.49,
short,2022-11-08 00:15:00,20715.96,2022-11-08 09:45:00,19585.19,20700.0,
short,2022-11-08 11:50:00,19752.7,2022-11-08 23:45:00,18689.89,19675.0,
short,2022-11-09 00:15:00,18802.85,2022-11-09 00:55:00,17716.19,18650.0,
short,2022-11-09 01:15:00,18511.82,2022-11-09 23:50:00,16753.66,17661.78,
short,2022-11-10 00:30:00,16810.96,2022-11-10 03:35:00,15630.18,16569.1,
short,2022-11-11 00:40:00,17351.89,2022-11-11 19:55:00,16461.55,17354.26,
short,2023-02-17 00:15:00,25000.78,2023-02-17 05:20:00,23544.88,24895.39,
short,2023-03-03 00:20:00,23412.85,2023-03-03 07:25:00,22150.31,23353.93,
short,2023-03-10 00:15:00,21014.59,2023-03-10 06:45:00,19828.2,21022.77,
short,2023-03-15 00:15:00,25219.8,2023-03-15 22:30:00,23967.85,25362.44,
short,2023-03-23 00:25:00,28027.99,2023-03-23 01:25:00,26667.33,28166.02,
short,2023-04-27 00:15:00,29744.73,2023-04-27 01:15:00,27960.4,29723.0,
short,2023-05-01 00:15:00,29597.43,2023-05-01 20:55:00,28110.82,29592.55,
short,2023-05-08 00:15:00,28888.2,2023-05-08 23:30:00,27448.61,28909.67,
short,2023-06-05 00:15:00,27189.08,2023-06-05 21:30:00,25554.37,27187.76,
short,2023-08-18 00:15:00,27874.52,2023-08-18 03:10:00,25188.01,27878.9,
short,2023-12-11 00:15:00,43831.11,2023-12-11 21:40:00,41605.42,43856.66,
long,2020-01-03 00:15:00,6976.52,2020-01-03 15:20:00,7337.28,,6985.0
long,2020-01-07 00:15:00,7535.54,2020-01-07 06:00:00,7968.53,,7547.16
long,2020-01-08 03:55:00,8023.91,2020-01-08 06:25:00,8431.82,,8026.22
long,2020-01-10 13:55:00,7712.29,2020-01-10 21:30:00,8114.89,,7727.27
long,2020-01-14 00:15:00,8102.2,2020-01-14 09:30:00,8518.16,,8101.17
long,2020-02-05 00:15:00,9187.52,2020-02-05 23:50:00,9708.9,,9220.65
long,2020-02-11 06:35:00,9785.82,2020-02-11 21:30:00,10300.0,,9803.84
long,2020-03-02 00:20:00,8467.0,2020-03-02 22:50:00,8910.0,,8482.37
long,2020-03-10 00:15:00,7744.66,2020-03-10 18:20:00,8140.46,,7752.71
long,2020-03-13 04:50:00,5162.66,2020-03-13 19:00:00,5945.51,,5658.31
long,2020-03-13 21:20:00,5198.93,2020-03-13 22:10:00,5395.03,,5136.17
long,2020-03-14 00:15:00,4841.68,2020-03-14 01:15:00,5343.4,,5082.96
long,2020-03-14 01:55:00,5378.96,2020-03-14 04:40:00,5688.3,,5408.34
